----time, Mpow,     accX,     accY,     accZ,    gyroX,    gyroY,    gyroZ
 1015.29,  768,     -2.2,    18.95,   -14.94,     0.43,     0.85,     1.48

 1021.88,  768,    -6.77,   -20.12,    -2.89,    -2.76,     0.41,     3.16

 1028.56,  768,    -7.48,   -11.95,   -10.64,     -1.8,      0.4,     3.92

 1035.11,  768,     4.53,    -3.35,    10.99,      0.6,     0.55,     3.11

 1041.64,  768,    11.66,    -6.60,    -6.63,    -1.37,     0.15,     4.10

 1048.31,  768,     0.20,   -15.72,    -24.7,     0.13,     0.28,     4.90

 1054.82,  768,     4.55,    23.16,    -6.88,     2.28,     0.30,     3.23

 1061.51,  768,     1.20,     14.9,   -17.64,     1.55,     0.28,     2.28

 1068.10,  768,    -8.37,     3.30,   -19.10,     0.90,     0.56,     3.21

 1074.69,  768,   -11.16,    13.84,    -31.6,     1.26,     0.10,     2.92

 1081.37,  768,     0.58,    -3.53,     7.58,     0.76,     0.20,     2.41

 1087.88,  768,     1.95,    -8.45,    -5.86,    -2.75,     0.41,     4.31

 1094.52,  768,     -1.2,    -6.21,     1.89,     0.38,     0.32,     5.70

  1101.3,  768,    10.91,     8.85,      0.2,      1.5,     0.12,     4.32

 1107.61,  768,     9.36,     3.67,    -3.60,     0.57,     0.10,     4.30

 1114.21,  768,    -3.42,    -1.56,    -35.4,     0.41,     0.12,     4.83

 1120.81,  768,    -6.82,     23.0,   -18.71,      3.4,     0.21,     3.33

 1127.50,  768,    -1.31,     2.97,    -2.93,     0.67,      0.4,     2.58

  1134.2,  768,    -9.95,    -2.88,   -25.96,    -1.42,     0.25,     4.21

 1140.71,  768,   -20.12,   -14.57,   -12.62,    -1.44,     0.51,     4.78

 1147.39,  768,     7.58,    -2.13,     9.16,     0.26,     0.28,      4.3

 1153.89,  768,    10.68,   -13.71,      1.5,    -1.17,      0.2,     5.18

 1160.51,  768,     0.26,   -11.68,   -29.25,    -1.38,     0.23,     6.21

 1167.14,  768,     4.33,    16.54,    -1.85,     3.16,     0.80,     4.57

 1173.79,  768,     8.38,    15.83,    -12.5,     0.32,     0.21,     3.58

 1180.31,  768,    -5.89,     9.44,   -28.42,     0.37,      0.7,     4.42

 1186.83,  768,   -15.30,     5.34,    -8.77,     0.59,     0.10,     4.17

 1193.44,  768,     1.67,      0.3,     3.20,     0.23,     0.63,     3.57

 1199.96,  768,     1.18,   -20.28,    -1.85,    -2.44,      0.8,     5.34

 1206.66,  768,    -5.79,   -14.18,   -15.80,    -2.40,     0.53,      7.4

 1213.33,  768,     8.59,     9.91,     3.55,     1.87,     0.90,     5.75

 1219.92,  768,    15.30,     8.63,    -8.65,     0.70,     0.25,      5.1

 1226.45,  768,    -2.58,     6.38,   -12.58,     0.78,     0.11,     5.65

  1233.5,  768,   -10.62,     11.9,    -27.7,     1.26,     0.16,      5.9

 1239.71,  768,    -1.68,    27.53,   -14.22,     0.96,     0.41,     3.56

 1246.32,  768,    -7.31,   -18.28,   -15.38,    -1.96,     0.14,     4.32

  1253.1,  768,   -11.51,   -14.22,    -3.44,    -2.61,     0.43,     5.79

 1259.61,  768,     -9.2,     0.73,     6.84,     0.43,     0.26,     5.48

  1266.5,  768,    12.35,     -7.6,      6.2,     0.88,     0.11,     5.68

